disease_category,model_id,modelling_approach,doi,year,year_source
hiv_files,MODEL2503040001,differential equation model,10.1101/2024.08.19.608570,2025,publication_block
hiv_files,MODEL1812040004,ordinary differential equation model,,2011,publication_block
hiv_files,MODEL1006230075,ordinary differential equation model,,1993,publication_block
hiv_files,MODEL1006230081,ordinary differential equation model,,1995,publication_block
hiv_files,MODEL1812040002,ordinary differential equation model,,2013,publication_block
hiv_files,BIOMD0000000707,ordinary differential equation model,,2003,publication_block
hiv_files,BIOMD0000000874,ordinary differential equation model,,1993,publication_block
hiv_files,BIOMD0000000875,ordinary differential equation model,,2000,publication_block
hiv_files,BIOMD0000000872,ordinary differential equation model,,2019,publication_block
hiv_files,BIOMD0000000573,ordinary differential equation model,,2014,publication_block
hiv_files,BIOMD0000000967,ordinary differential equation model,,1991,publication_block
hiv_files,BIOMD0000000683,ordinary differential equation model,,1999,publication_block
hiv_files,BIOMD0000000876,ordinary differential equation model,10.1016/j.apm.2019.05.028,2019,publication_block
hiv_files,BIOMD0000000663,ordinary differential equation model,,2007,publication_block
influenza_files,MODEL1504160000,ordinary differential equation model,,2011,publication_block
influenza_files,MODEL2311070005,constraint-based model,10.20944/preprints202210.0223.v1,2022,publication_block
influenza_files,MODEL2311070002,constraint-based model,10.20944/preprints202210.0223.v1,2022,publication_block
influenza_files,MODEL1812040006,ordinary differential equation model,,2016,publication_block
influenza_files,MODEL2311070003,constraint-based model,10.20944/preprints202210.0223.v1,2022,publication_block
influenza_files,MODEL2311070004,constraint-based model,10.20944/preprints202210.0223.v1,2022,publication_block
influenza_files,MODEL1406230000,ordinary differential equation model,,2009,publication_block
influenza_files,MODEL1411130000,ordinary differential equation model,,2014,publication_block
influenza_files,MODEL2311070001,constraint-based model,10.20944/preprints202210.0223.v1,2022,publication_block
influenza_files,MODEL2311070006,constraint-based model,10.20944/preprints202210.0223.v1,2022,publication_block
influenza_files,MODEL1812040005,ordinary differential equation model,,2017,publication_block
influenza_files,MODEL2311070007,constraint-based model,10.20944/preprints202210.0223.v1,2022,publication_block
influenza_files,BIOMD0000000708,ordinary differential equation model,,2017,publication_block
influenza_files,BIOMD0000000709,ordinary differential equation model,,2017,publication_block
influenza_files,BIOMD0000000889,ordinary differential equation model,,2014,publication_block
influenza_files,BIOMD0000000463,ordinary differential equation model,,2012,publication_block
influenza_files,BIOMD0000000851,ordinary differential equation model,,2019,publication_block
influenza_files,BIOMD0000000528,ordinary differential equation model,,2014,publication_block
influenza_files,BIOMD0000000529,ordinary differential equation model,,2014,publication_block
influenza_files,BIOMD0000000712,ordinary differential equation model,,2014,publication_block
influenza_files,BIOMD0000001045,population model,,2022,publication_block
influenza_files,BIOMD0000000865,ordinary differential equation model,,2019,publication_block
influenza_files,BIOMD0000000710,ordinary differential equation model,10.3182/20120829-3-hu-2029.00029,2012,publication_block
influenza_files,BIOMD0000000717,ordinary differential equation model,10.1016/j.idm.2018.03.004,2018,publication_block
influenza_files,BIOMD0000000716,ordinary differential equation model,10.1016/j.idm.2018.03.004,2018,publication_block
influenza_files,BIOMD0000000711,ordinary differential equation model,,2007,publication_block
influenza_files,BIOMD0000000546,ordinary differential equation model,,2010,publication_block
