category,model_id,.cc3d,.cps,.f,.graphml,.inp,.java,.m,.mat,.ode,.omex,.pkl,.py,.sbml,.sci,.sedml,.sif,.svg,.tsv,.vcml,.xml,.xpp,.yaml,.zip
covid_files,BIOMD0000000972,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
covid_files,BIOMD0000000981,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
covid_files,MODEL2311070007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
covid_files,BIOMD0000000988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
mpox_files,MODEL2208040001,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
tuberculosis_files,MODEL2203300002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
tuberculosis_files,BIOMD0000001046,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1
tuberculosis_files,BIOMD0000000287,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0
tuberculosis_files,BIOMD0000000218,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0
tuberculosis_files,BIOMD0000000219,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0
tuberculosis_files,BIOMD0000000221,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0
tuberculosis_files,BIOMD0000000091,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,1,0,1,2,0,0,0
tuberculosis_files,BIOMD0000000462,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,1,0,1,2,0,0,0
tuberculosis_files,MODEL1011090002,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
tuberculosis_files,BIOMD0000000581,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0
tuberculosis_files,MODEL1507180018,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
tuberculosis_files,MODEL1507180021,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
