model_id,disease_category,publication_year,year_source,journal,doi
MODEL1302180001,hiv_files,2013,publication_block,PLoS biology,
MODEL1006230035,hiv_files,1993,publication_block,Mathematical biosciences,
MODEL1006230050,hiv_files,1996,publication_block,"Science (New York, N.Y.)",
MODEL1006230033,hiv_files,1995,publication_block,Mathematical biosciences,
MODEL8102792069,hiv_files,2000,publication_block,Mathematical biosciences,
MODEL1006230093,hiv_files,1993,publication_block,Mathematical biosciences,
MODEL1302180002,hiv_files,2013,publication_block,PLoS biology,
MODEL1812040004,hiv_files,2011,publication_block,Bio Systems,
MODEL1006230075,hiv_files,1993,publication_block,Mathematical biosciences,
MODEL1006230081,hiv_files,1995,publication_block,Mathematical biosciences,
MODEL1812040002,hiv_files,2013,publication_block,Mathematical biosciences,
MODEL2503040001,hiv_files,2025,publication_block,Viruses,10.1101/2024.08.19.608570
BIOMD0000000707,hiv_files,2003,publication_block,Mathematical biosciences,
BIOMD0000000874,hiv_files,1993,publication_block,Mathematical biosciences,
BIOMD0000000875,hiv_files,2000,publication_block,Mathematical biosciences,
BIOMD0000000872,hiv_files,2019,publication_block,PLoS ONE,
BIOMD0000000573,hiv_files,2014,publication_block,Journal of theoretical biology,
BIOMD0000000967,hiv_files,1991,publication_block,"AIDS (London, England)",
BIOMD0000000683,hiv_files,1999,publication_block,Proceedings of the National Academy of Sciences of the United States of America,
BIOMD0000000876,hiv_files,2019,publication_block,Applied Mathematical Modelling,10.1016/j.apm.2019.05.028
BIOMD0000000663,hiv_files,2007,publication_block,Mathematical biosciences,
MODEL2311070005,influenza_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2311070002,influenza_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2311070003,influenza_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2311070004,influenza_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2311070001,influenza_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2311070006,influenza_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2311070007,influenza_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL1504160000,influenza_files,2011,publication_block,"Journal of immunology (Baltimore, Md. : 1950)",
MODEL1812040006,influenza_files,2016,publication_block,PloS one,
MODEL1406230000,influenza_files,2009,publication_block,Journal of virology,
MODEL1411130000,influenza_files,2014,publication_block,PloS one,
MODEL1812040005,influenza_files,2017,publication_block,Journal of pharmacokinetics and pharmacodynamics,
BIOMD0000000708,influenza_files,2017,publication_block,Mathematical biosciences,
BIOMD0000000709,influenza_files,2017,publication_block,Mathematical biosciences,
BIOMD0000000889,influenza_files,2014,publication_block,Journal of theoretical biology,
BIOMD0000000463,influenza_files,2012,publication_block,Journal of virology,
