observableId	simulationConditionId	time	measurement	noiseParameters
prev_hcw	c_A	149	0.07954545454545454	0.014590780612396072
prev_hcw	c_A	168	0.183206106870229	0.03371699677561662
prev_hcw	c_A	275	0.3920704845814978	0.03229352399036232
prev_hcw	c_A	299	0.55	0.06251744611027019
prev_hcw	c_J	243	0.30708661417322836	0.020352959978354703
prev_hcw	c_J	279	0.45	0.024905292404732438
prev_hcw	c_J	291	0.5294117647058824	0.08248651913525915
prev_com	c_A	298	0.49698795180722893	0.02760220456313396
prev_com	c_A	332	0.5347985347985348	0.029933801936550847
prev_com	c_A	353	0.3125	0.10817123367894937
prev_com	c_J	262	0.2445414847161572	0.019906608983274333
prev_com	c_J	308	0.35526315789473684	0.05397392173676129
prev_com	c_J	304	0.3540983606557377	0.02718983653863489
prev_com	c_J	328	0.2631578947368421	0.09637343862456627
